Question,Option A,Option B,Option C,Option D,Answer
Which country has the most islands?,Indonesia,Sweden,Philippines,Australia,Sweden
What is the capital of Italy?,Florence,Venice,Rome,Naples,Rome
Which country is known for producing maple syrup?,USA,Canada,Germany,Australia,Canada
What is the official currency of the United Kingdom?,Dollar,Euro,Pound Sterling,Franc,Pound Sterling
Which is the smallest country in the world?,Monaco,Vatican City,San Marino,Malta,Vatican City
Which country is famous for the Pyramids?,India,Mexico,Egypt,Greece,Egypt
Which country has a maple leaf on its flag?,USA,Japan,Canada,Australia,Canada
Which country is known as the Land of the Midnight Sun?,Norway,Sweden,Finland,Iceland,Norway
What is the capital of Germany?,Munich,Hamburg,Berlin,Frankfurt,Berlin
Which country is famous for its fjords?,Denmark,Finland,Sweden,Norway,Norway
What is the largest island in the world?,Greenland,New Guinea,Australia,Canada,Greenland
Which country has the highest number of volcanoes?,Japan,USA,Indonesia,Iceland,Indonesia
What is the official language of Egypt?,Arabic,English,French,Spanish,Arabic
Which country is famous for its samba dance?,Argentina,Spain,Brazil,Portugal,Brazil
What is the smallest country in South America?,Suriname,Uruguay,Paraguay,Guyana,Suriname
Which country has the nickname "The Emerald Isle"?,Scotland,Wales,Ireland,England,Ireland
What is the national animal of China?,Tiger,Panda,Dragon,Lion,Panda
Which African country has pyramids?,Ethiopia,Sudan,Egypt,Libya,Egypt
What is the currency of Switzerland?,Euro,Franc,Pound,Dollar,Franc
Which country is bordered by both the Atlantic and Indian Oceans?,South Africa,Australia,Brazil,Argentina,South Africa
Which Asian country is known as the Land of Thunder Dragon?,Nepal,Bhutan,Myanmar,Thailand,Bhutan
What is the capital of Thailand?,Phuket,Chiang Mai,Pattaya,Bangkok,Bangkok
Which country is known for its maple syrup production?,USA,Canada,Sweden,Norway,Canada
Which South American country is famous for the Andes Mountains?,Chile,Argentina,Brazil,Colombia,Chile
Which country is famous for its tulips and windmills?,Belgium,Netherlands,Germany,Denmark,Netherlands
What is the capital of Russia?,St. Petersburg,Kazan,Moscow,Novosibirsk,Moscow
What is the official currency of South Africa?,Rand,Dollar,Peso,Shilling,Rand
Which European country is famous for the Eiffel Tower?,Spain,Italy,France,Germany,France
What is the capital of Saudi Arabia?,Mecca,Medina,Dubai,Riyadh,Riyadh
Which country is known as the "Roof of the World"?,Nepal,Tibet,India,Bhutan,Tibet
What is the largest desert in the world?,Gobi,Sahara,Arctic Desert,Antarctic Desert,Antarctic Desert
Which country has the largest rainforest?,Australia,USA,Brazil,Indonesia,Brazil